date_id,order_date,year_month,month,month_name,quarter,year,day_of_week,is_weekend
516,2024-06-08,2024-06,6,June,2,2024,5,True
517,2022-09-29,2022-09,9,September,3,2022,3,False
518,2023-05-10,2023-05,5,May,2,2023,2,False
519,2021-04-12,2021-04,4,April,2,2021,0,False
520,2023-11-04,2023-11,11,November,4,2023,5,True
521,2023-09-10,2023-09,9,September,3,2023,6,True
522,2024-01-05,2024-01,1,January,1,2024,4,False
523,2024-05-08,2024-05,5,May,2,2024,2,False
524,2020-09-10,2020-09,9,September,3,2020,3,False
525,2020-07-12,2020-07,7,July,3,2020,6,True
526,2023-02-17,2023-02,2,February,1,2023,4,False
527,2021-07-21,2021-07,7,July,3,2021,2,False
528,2020-12-31,2020-12,12,December,4,2020,3,False
529,2023-04-05,2023-04,4,April,2,2023,2,False
530,2024-12-29,2024-12,12,December,4,2024,6,True
531,2020-08-11,2020-08,8,August,3,2020,1,False
532,2024-03-04,2024-03,3,March,1,2024,0,False
533,2023-07-28,2023-07,7,July,3,2023,4,False
534,2021-11-27,2021-11,11,November,4,2021,5,True
535,2020-09-09,2020-09,9,September,3,2020,2,False
536,2021-06-02,2021-06,6,June,2,2021,2,False
537,2022-08-22,2022-08,8,August,3,2022,0,False
538,2021-03-12,2021-03,3,March,1,2021,4,False
539,2024-06-26,2024-06,6,June,2,2024,2,False
540,2023-12-08,2023-12,12,December,4,2023,4,False
541,2024-11-27,2024-11,11,November,4,2024,2,False
542,2022-01-10,2022-01,1,January,1,2022,0,False
543,2021-11-01,2021-11,11,November,4,2021,0,False
544,2023-10-28,2023-10,10,October,4,2023,5,True
545,2025-03-01,2025-03,3,March,1,2025,5,True
546,2024-08-01,2024-08,8,August,3,2024,3,False
547,2023-06-07,2023-06,6,June,2,2023,2,False
548,2021-01-04,2021-01,1,January,1,2021,0,False
549,2024-12-14,2024-12,12,December,4,2024,5,True
550,2022-07-25,2022-07,7,July,3,2022,0,False
551,2022-05-07,2022-05,5,May,2,2022,5,True
552,2022-09-12,2022-09,9,September,3,2022,0,False
553,2023-08-20,2023-08,8,August,3,2023,6,True
554,2020-12-27,2020-12,12,December,4,2020,6,True
555,2023-09-04,2023-09,9,September,3,2023,0,False
556,2022-01-08,2022-01,1,January,1,2022,5,True
557,2023-06-05,2023-06,6,June,2,2023,0,False
558,2021-04-01,2021-04,4,April,2,2021,3,False
559,2024-05-28,2024-05,5,May,2,2024,1,False
560,2023-03-09,2023-03,3,March,1,2023,3,False
561,2022-07-28,2022-07,7,July,3,2022,3,False
562,2021-06-17,2021-06,6,June,2,2021,3,False
563,2024-02-13,2024-02,2,February,1,2024,1,False
564,2021-08-06,2021-08,8,August,3,2021,4,False
565,2022-05-01,2022-05,5,May,2,2022,6,True
566,2024-03-11,2024-03,3,March,1,2024,0,False
567,2020-07-06,2020-07,7,July,3,2020,0,False
568,2020-12-17,2020-12,12,December,4,2020,3,False
569,2025-02-27,2025-02,2,February,1,2025,3,False
570,2021-06-05,2021-06,6,June,2,2021,5,True
571,2022-12-22,2022-12,12,December,4,2022,3,False
572,2025-01-25,2025-01,1,January,1,2025,5,True
573,2025-02-14,2025-02,2,February,1,2025,4,False
574,2023-01-06,2023-01,1,January,1,2023,4,False
575,2020-10-11,2020-10,10,October,4,2020,6,True
576,2024-03-12,2024-03,3,March,1,2024,1,False
577,2022-05-17,2022-05,5,May,2,2022,1,False
578,2021-08-24,2021-08,8,August,3,2021,1,False
579,2024-02-21,2024-02,2,February,1,2024,2,False
580,2022-05-15,2022-05,5,May,2,2022,6,True
581,2022-07-22,2022-07,7,July,3,2022,4,False
582,2021-12-13,2021-12,12,December,4,2021,0,False
583,2021-06-03,2021-06,6,June,2,2021,3,False
584,2023-02-02,2023-02,2,February,1,2023,3,False
585,2022-06-05,2022-06,6,June,2,2022,6,True
586,2020-05-11,2020-05,5,May,2,2020,0,False
587,2020-11-25,2020-11,11,November,4,2020,2,False
588,2023-08-12,2023-08,8,August,3,2023,5,True
589,2024-01-17,2024-01,1,January,1,2024,2,False
590,2021-11-24,2021-11,11,November,4,2021,2,False
591,2021-10-06,2021-10,10,October,4,2021,2,False
592,2022-05-23,2022-05,5,May,2,2022,0,False
593,2021-02-22,2021-02,2,February,1,2021,0,False
594,2020-06-07,2020-06,6,June,2,2020,6,True
595,2024-05-21,2024-05,5,May,2,2024,1,False
596,2020-08-05,2020-08,8,August,3,2020,2,False
597,2020-10-15,2020-10,10,October,4,2020,3,False
598,2021-05-15,2021-05,5,May,2,2021,5,True
599,2022-01-13,2022-01,1,January,1,2022,3,False
600,2023-11-18,2023-11,11,November,4,2023,5,True
601,2022-01-19,2022-01,1,January,1,2022,2,False
602,2024-08-07,2024-08,8,August,3,2024,2,False
603,2022-07-26,2022-07,7,July,3,2022,1,False
604,2024-01-13,2024-01,1,January,1,2024,5,True
605,2023-04-25,2023-04,4,April,2,2023,1,False
606,2021-07-05,2021-07,7,July,3,2021,0,False
607,2024-10-12,2024-10,10,October,4,2024,5,True
608,2024-02-07,2024-02,2,February,1,2024,2,False
609,2021-03-05,2021-03,3,March,1,2021,4,False
610,2021-08-02,2021-08,8,August,3,2021,0,False
611,2022-08-19,2022-08,8,August,3,2022,4,False
612,2024-09-19,2024-09,9,September,3,2024,3,False
613,2020-04-05,2020-04,4,April,2,2020,6,True
614,2023-03-16,2023-03,3,March,1,2023,3,False
615,2024-10-15,2024-10,10,October,4,2024,1,False
616,2022-06-09,2022-06,6,June,2,2022,3,False
617,2023-04-09,2023-04,4,April,2,2023,6,True
618,2023-11-24,2023-11,11,November,4,2023,4,False
619,2023-11-29,2023-11,11,November,4,2023,2,False
620,2024-05-20,2024-05,5,May,2,2024,0,False
621,2022-07-13,2022-07,7,July,3,2022,2,False
622,2020-04-19,2020-04,4,April,2,2020,6,True
623,2024-11-14,2024-11,11,November,4,2024,3,False
624,2021-03-21,2021-03,3,March,1,2021,6,True
625,2023-05-31,2023-05,5,May,2,2023,2,False
626,2025-01-14,2025-01,1,January,1,2025,1,False
627,2020-12-24,2020-12,12,December,4,2020,3,False
628,2021-10-05,2021-10,10,October,4,2021,1,False
629,2024-12-28,2024-12,12,December,4,2024,5,True
630,2022-05-14,2022-05,5,May,2,2022,5,True
631,2023-08-19,2023-08,8,August,3,2023,5,True
632,2023-07-14,2023-07,7,July,3,2023,4,False
633,2023-06-22,2023-06,6,June,2,2023,3,False
634,2021-05-25,2021-05,5,May,2,2021,1,False
635,2024-04-02,2024-04,4,April,2,2024,1,False
636,2022-12-03,2022-12,12,December,4,2022,5,True
637,2021-07-12,2021-07,7,July,3,2021,0,False
638,2020-03-22,2020-03,3,March,1,2020,6,True
639,2020-08-09,2020-08,8,August,3,2020,6,True
640,2022-02-18,2022-02,2,February,1,2022,4,False
641,2021-06-14,2021-06,6,June,2,2021,0,False
642,2021-03-01,2021-03,3,March,1,2021,0,False
643,2023-09-23,2023-09,9,September,3,2023,5,True
644,2024-07-31,2024-07,7,July,3,2024,2,False
645,2020-06-02,2020-06,6,June,2,2020,1,False
646,2022-12-15,2022-12,12,December,4,2022,3,False
647,2020-08-07,2020-08,8,August,3,2020,4,False
648,2024-10-26,2024-10,10,October,4,2024,5,True
